Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
1/12/2017,Logan,North Wood Camp,Natural,Facets,6',"1,000'",,Southeast,"8,000'","41.828516996097, -111.665942954160",,,,,,
1/12/2017,Salt Lake,Catchers Mit,Unknown,,,,,North,,"40.625196448953, -111.667358560490",,,,,,
1/11/2017,Logan,Beaver Canyon,Unknown,Facets,4',150',250',Northwest,"7,200'","41.954787166113, -111.540559924350",,,,,,
1/11/2017,Logan,Wood Camp,Natural,Facets,4',"2,500'","2,500'",East,"8,500'","41.806454108249, -111.661791869010",,,,,,
1/11/2017,Ogden,Snowbasin Backcountry,Unknown,Density Change,,,700',Southeast,"7,800'","41.216441313264, -111.877083765610",,,,,,
1/11/2017,Ogden,Ogden,Natural,,,,,,,"41.379022215655, -111.928985515870",,,,,,
1/11/2017,Ogden,Ben Lomond,Natural,Facets,3.5',150',,,"7,500'",,,,,,,
1/11/2017,Ogden,Willard Peak,Natural,Facets,,"2,500'","1,500'",Northeast,"7,500'",,,,,,,
1/11/2017,Ogden,Ogden,Natural,,,"1,500'","2,500'",Northeast,"7,900'","41.310846057983, -111.891768859950",,,,,,
1/11/2017,Uintas,Smith-Moorehouse,Snowboarder,Facets,4',300',800',East,"9,400'",,2,2,1,1,1,
1/11/2017,Logan,Zanavoo Gully,Natural,Facets,,,"2,750'",North,"8,000'","41.735298064463, -111.733102785680",,,,,,
1/11/2017,Salt Lake,Cardiac Ridge,Natural,New Snow/Old Snow Interface,4',"2,500'","1,250'",East,"10,700'",,,,,,,
1/11/2017,Logan,Tony Grove,Natural,,3',"1,000'",800',East,"9,200'","41.916762748840, -111.653323160740",,,,,,
1/11/2017,Skyline,Pleasant Creek,Natural,,,70',900',North,"9,900'","39.518894003067, -111.319817291840",,,,,,
1/11/2017,Skyline,Blue Cut,Natural,,,,,East,"8,500'","39.506914199281, -111.159903990360",,,,,,
1/10/2017,Skyline,Blue Cut,Explosive,,,125',350',East,"8,300'","39.508853249233, -111.159410463910",,,,,,
1/10/2017,Salt Lake,Pink Pine,Skier,Density Change,"15""",80',300',Northeast,"9,200'","40.558898089890, -111.692805277440",,,,,,
1/10/2017,Salt Lake,10420,Skier,New Snow/Old Snow Interface,"12""",150',,North,"9,600'","40.604015028534, -111.567921625710",,,,,,
1/10/2017,Skyline,Huntington Canyon Mile 30.5 East facing,Explosive,,,200',600',East,"8,200'","39.495125597992, -111.159281717860",,,,,,
1/10/2017,Skyline,Electric Lake,Natural,,2',150',,Northeast,"9,300'","39.638704130666, -111.255004393200",,,,,,
1/10/2017,Uintas,Upper Weber Canyon,Natural,,6',700',800',Northeast,"9,800'","40.832773790974, -111.065382944680",,,,,,
1/9/2017,Salt Lake,Y Coulior,Natural,,,,,North,,"40.565012157518, -111.725742804150",,,,,,
1/9/2017,Provo,Provo Avalanche Cycle,,,,,,,,,,,,,,
1/9/2017,Logan,Gibson Canyon,Natural,,4',800',"2,500'",East,"8,800'","41.681422052022, -112.011888054580",,,,,,
1/9/2017,Skyline,Blue Cut,Natural,Density Change,2',200',250',East,"7,400'","39.509780331904, -111.159238802530",,,,,,
1/9/2017,Logan,Cache Valley,,,,,,,,,,,,,,
1/9/2017,Salt Lake,Scotties Bowl,Skier,Density Change,"12""",150',300',West,"9,400'",,,,,,,
1/9/2017,Salt Lake,White Pine,Skier,Density Change,"10""",100',800',,"9,000'",,,,,,,
1/9/2017,Skyline,Huntington Canyon Mile 29.4 West facing,Natural,New Snow/Old Snow Interface,,400',700',West,"8,400'","39.508503520638, -111.152114855380",,,,,,
1/9/2017,Skyline,Huntington Canyon Mile 29.6 West facing,Natural,New Snow/Old Snow Interface,,500',700',West,"8,400'","39.504688467458, -111.151857363330",,,,,,
1/8/2017,Skyline,Fairview Canyon,Natural,Density Change,"9""",125',,North,"7,100'","39.646205700301, -111.394522177310",,,,,,
1/8/2017,Skyline,Fairview Road Banks,Natural,Density Change,"9""",125',70',South,"8,400'",,,,,,,
1/8/2017,Ogden,Cutler Ridge,Skier,New Snow/Old Snow Interface,"12""",100',60',,"7,700'",,,,,,,
1/8/2017,Salt Lake,Mineral Basin,Natural,New Snow/Old Snow Interface,"8""",100',250',North,"9,800'","40.550436709336, -111.634322392090",,,,,,
1/8/2017,Salt Lake,Guardsman Pass area,Skier,New Snow/Old Snow Interface,"8""",80',175',Southeast,"9,700'","40.607343407847, -111.552288601950",,,,,,
1/8/2017,Salt Lake,Foothills,Natural,Ground Interface,"6""",40',20',East,"5,200'",,,,,,,
1/7/2017,Provo,Provo,Natural,Density Change,"12""",,"3,000'",East,"10,200'",,,,,,,
1/6/2017,Skyline,Electric Lake,Skier,Surface Hoar,2',250',600',Northeast,"9,600'","39.632894605613, -111.249833094230",,,,,,
1/5/2017,Uintas,Hoyt Peak,Skier,New Snow/Old Snow Interface,"18""",250',400',Northeast,"10,000'","40.692588614734, -111.197134392600",1,1,,,,
1/5/2017,Provo,Provo,Natural,Facets,3',700',,East,"8,000'",,,,,,,
1/5/2017,Salt Lake,Wolverine Cirque,Natural,,2',300',,Northwest,"10,300'",,,,,,,
1/5/2017,Salt Lake,Diving Board,Natural,New Snow/Old Snow Interface,3',300',"1,250'",East,"9,800'",,,,,,,
1/5/2017,Skyline,Huntington Reservior,Natural,,,,,Northeast,,,,,,,,
1/5/2017,Salt Lake,White Pine,Natural,,"18""",125',200',East,"10,500'",,,,,,,
1/4/2017,Logan,Mendon Bench,Unknown,Facets,"18""",175',50',East,,"41.694828376158, -111.974760550690",,,,,,
1/4/2017,Logan,Maple Bench,Natural,,"20""",200',500',East,"6,500'","41.688270508403, -112.013533833410",,,,,,
1/4/2017,Salt Lake,Cardiac Ridge,Natural,,,,,Northeast,"10,000'","40.598445762004, -111.665249603130",,,,,,
1/4/2017,Skyline,Lake Canyon,Natural,,,,,Northeast,"10,100'","39.571410799486, -111.285366999240",,,,,,
1/4/2017,Skyline,SR264 Drift,Natural,,,,,Northeast,"8,700'","39.681062755710, -111.243535267450",,,,,,
1/2/2017,Moab,Moab,Skier,Density Change,"8""",60',175',North,"11,200'","38.445206884902, -109.250876592730",,,,,,
1/2/2017,Salt Lake,Neffs,Natural,Facets,"20""",200',,Northeast,"9,500'",,,,,,,
1/2/2017,Salt Lake,No Name Bowl,Skier,Facets,"12""",70',500',Northeast,"9,400'",,,,,,,
12/31/2016,Skyline,Big Drift/Skyline Summit,Unknown,,,150',,East,"10,000'","39.614938488437, -111.294306278210",,,,,,
12/29/2016,Salt Lake,Butler Fork,Unknown,,,100',,North,,"40.665113587004, -111.679067811980",,,,,,
12/28/2016,Ogden,Ogden Foothills,Hiker,,,15',30',North,,"41.143243443134, -111.911318785110",,,,,,
12/28/2016,Skyline,Ephraim Canyon,Snowmobiler,,,,,,,,1,1,,,,
12/27/2016,Logan,Tony Grove,Snowboarder,Density Change,"12""",50',,East,"9,000'","41.894099557603, -111.644096361730",,,,,,
12/27/2016,Ogden,Cutler Ridge,Snowboarder,Density Change,"12""",40',50',Northeast,"7,300'","41.379301010827, -111.942615496250",,,,,,
12/27/2016,Ogden,Cutler Ridge,Skier,Density Change,"18""",50',70',Northeast,"7,100'","41.378505628380, -111.936264025310",,,,,,
12/27/2016,Ogden,Cutler Ridge,Skier,,"18""",80',150',Northeast,"6,800'","41.378795445007, -111.927766787150",,,,,,
12/27/2016,Logan,Paradise Dry,Skier,Facets,"20""",300',900',Northeast,"7,900'",,,,,,,
12/27/2016,Salt Lake,Mill Creek Canyon,Skier,Density Change,"16""",25',250',East,"9,700'","40.665112227656, -111.722116457570",,,,,,
12/25/2016,Skyline,Huntington Canyon,,,,,,,,,,,,,,
12/25/2016,Abajos,Abajos,Natural,New Snow/Old Snow Interface,"18""",25',50',East,"9,700'","37.851947957821, -109.485626207920",,,,,,
12/24/2016,Salt Lake,Cardiff Bowl,Snowboarder,New Snow/Old Snow Interface,2',30',200',East,"10,200'","40.594809857611, -111.652357565500",1,1,,,,
12/24/2016,Salt Lake,Depth Hoar Bowl,Skier,New Snow/Old Snow Interface,"5""",20',20',Northeast,"9,700'","40.677936222181, -111.683535563090",,,,,,
12/24/2016,Salt Lake,East Bowl,Skier,,"12""",250',800',Northwest,"10,400'",,,,,,,
12/24/2016,Logan,Logan,Skier,,,,20',North,"7,600'","41.972850108973, -111.479387270550",,,,,,
12/20/2016,Salt Lake,Superior,Skier,,,,,South,"10,000'",,1,1,,,,
12/19/2016,Salt Lake,Raymond Peak,Skier,New Snow,"3""",40',,,"10,200'",,,,,,,
12/19/2016,Salt Lake,White Pine,Snowboarder,Depth Hoar,,700',"1,000'",North,"11,000'","40.552112760962, -111.665339457120",1,1,1,,,
12/18/2016,Provo,Snake Creek,Unknown,,2',200',600',South,"8,300'",,,,,,,
12/18/2016,Salt Lake,Salt Lake,Unknown,Facets,3',300',175',North,"10,200'",,,,,,,
12/17/2016,Salt Lake,Pioneer Peak,Natural,Density Change,2',300',500',Northwest,"10,000'","40.581250287856, -111.588714109990",,,,,,
12/16/2016,Logan,Beaver Mountain Backside,Unknown,New Snow/Old Snow Interface,"18""",80',250',Southeast,"8,000'","41.959351259706, -111.557002352820",,,,,,
12/16/2016,Logan,Shumway Canyon,Natural,,,,"1,500'",East,,"41.654007820953, -112.011558506960",,,,,,
12/16/2016,Moab,La Sal Mountains,Natural,Facets,3.5',70',700',Northeast,"11,400'","38.461624660901, -109.249076830490",,,,,,
12/16/2016,Moab,La Sal Mountains,Natural,Facets,3',300',600',Northeast,"10,400'","38.465253778301, -109.276628481490",,,,,,
12/16/2016,Moab,La Sal Mountains,Natural,Facets,2.5',600',400',Northeast,"11,300'","38.444641199667, -109.248754965400",,,,,,
12/16/2016,Logan,Wood Camp,Natural,New Snow/Old Snow Interface,,,"1,750'",Southeast,"8,500'","41.814341852815, -111.671819063810",,,,,,
12/16/2016,Salt Lake,Little Cottonwood Canyon,,,,,,,,,,,,,,
12/16/2016,Provo,Elk Point,Natural,,,,,East,,,,,,,,
12/16/2016,Salt Lake,White Pine,Natural,Depth Hoar,,150',700',Northeast,"9,800'","40.550835907962, -111.688277708620",,,,,,
12/16/2016,Salt Lake,South Monitor Bowl,Natural,New Snow/Old Snow Interface,4',500',800',Northeast,"9,900'",,,,,,,
12/16/2016,Uintas,Upper Weber Canyon,Skier,,4',40',,North,"10,500'",,,,,,,
12/15/2016,Salt Lake,West Monitor,Natural,New Snow,"20""",60',800',Northeast,"10,000'",,,,,,,
12/15/2016,Salt Lake,Flagstaff Ridge,Skier,Graupel,"20""",70',100',Southeast,"9,400'","40.594777270683, -111.640899168600",1,,,,,
12/15/2016,Uintas,Upper Weber Canyon,Explosive,New Snow/Old Snow Interface,2',200',400',East,"10,300'",,,,,,,
12/14/2016,Salt Lake,Upper Days,Skier,,,,,,,,,,,,,
12/14/2016,Salt Lake,Grizzly Gulch,Natural,New Snow,"6""",200',150',North,"9,800'","40.592940666160, -111.618003832450",,,,,,
12/14/2016,Salt Lake,Snake Creek,Natural,New Snow,"8""",,,Northeast,,,,,,,,
12/14/2016,Salt Lake,Cardiff Fork,Skier,New Snow,"6""",175',150',Northeast,"9,900'","40.595852885477, -111.654664265260",,,,,,
12/14/2016,Salt Lake,Days Fork,Skier,New Snow/Old Snow Interface,"6""",60',,Northeast,"10,300'","40.600314070662, -111.643323885540",,,,,,
12/14/2016,Salt Lake,Cinder Chutes,Snowboarder,New Snow,,20',900',East,"9,700'","40.670908632792, -111.599909650420",,,,,,
12/13/2016,Salt Lake,Pink Pine,Snowboarder,,"8""",30',200',Northeast,"9,400'","40.556073163327, -111.690337645150",1,1,,,,
12/13/2016,Salt Lake,Hide A Way Park,Skier,Facets,"14""",25',400',North,"10,000'","40.603266137495, -111.632852541550",,,,,,
12/12/2016,Salt Lake,10420,Snowboarder,Facets,2',30',400',Northeast,"10,000'",,2,2,,,,
12/12/2016,Skyline,Wedding Ring Ridge,Natural,New Snow/Old Snow Interface,"18""",100',150',East,"10,000'","39.608968059708, -111.290817247950",,,,,,
12/11/2016,Salt Lake,Lacawaxan,Unknown,Facets,"12""",50',300',East,"10,400'",,,,,,,
12/11/2016,Uintas,Weber Canyon,Skier,Facets,2.5',25',175',North,"9,800'","40.702914693813, -111.196231829260",,,,,,
12/11/2016,Salt Lake,Barrieto,Natural,New Snow/Old Snow Interface,,150',,Northeast,"10,000'","40.634538303643, -111.698749052630",,,,,,
12/11/2016,Provo,Box Elder,Natural,Facets,"20""",50',350',East,"9,500'","40.501058493768, -111.694811569790",,,,,,
12/11/2016,Ogden,Rodeo Ridge,Natural,Depth Hoar,3.5',250',,Northeast,"8,600'",,,,,,,
12/11/2016,Provo,Elk Point,Natural,Density Change,"12""",30',,Northeast,"10,600'",,,,,,,
12/10/2016,Salt Lake,Days Fork,Snowboarder,Depth Hoar,2',50',300',Northeast,"9,700'","40.605312204034, -111.636414515120",,,,,,
12/10/2016,Logan,Natural cycle in the Tony Grove Area,Natural,Depth Hoar,4',300',600',North,"9,200'","41.896838085291, -111.659646101790",,,,,,
12/10/2016,Salt Lake,Soldier Peak,Skier,Facets,,50',600',East,"9,300'","40.671849264545, -111.657829271880",,,,,,
12/10/2016,Provo,Cascade Ridge,Natural,Facets,4.5',300',,East,"10,400'",,,,,,,
12/10/2016,Uintas,Duke Bowl,Skier,New Snow/Old Snow Interface,"6""",15',200',Northwest,"10,100'","40.678021402080, -111.148338305080",,,,,,
12/10/2016,Logan,Chicken Hill,Natural,Depth Hoar,3',200',,North,"8,800'","41.913581335519, -111.627151993490",,,,,,
12/10/2016,Salt Lake,Twin Lakes area,Skier,New Snow,"4""",100',50',Northeast,,"40.596701577877, -111.599874781690",,,,,,
12/10/2016,Salt Lake,Brighton Perimeter,Natural,New Snow,"8""",,,North,"9,500'",,,,,,,
12/10/2016,Salt Lake,Main Porter,Skier,Density Change,"10""",60',300',East,"9,500'","40.667975907527, -111.722754823300",,,,,,
12/10/2016,Uintas,Weber Canyon,Natural,New Snow,"16""","1,500'",700',Northeast,"10,100'","40.704092172624, -111.200652109720",,,,,,
12/10/2016,Uintas,Hoyt Peak,Natural,New Snow,"12""",600',400',East,"10,000'","40.694599660440, -111.198675321690",,,,,,
12/10/2016,Salt Lake,Upper Days,Skier,New Snow/Old Snow Interface,"8""",50',400',North,"9,500'",,,,,,,
12/9/2016,Salt Lake,No Name Bowl,Skier,Facets,"12""",50',250',Northeast,"9,800'",,,,,,,
12/9/2016,Salt Lake,Park City Ridgeline,Skier,Facets,"18""",20',100',Northeast,"9,300'",,,,,,,
12/9/2016,Uintas,Hoyt Peak,Skier,New Snow/Old Snow Interface,"6""",80',150',Northeast,"10,100'","40.691941640468, -111.196918474770",,,,,,
12/8/2016,Salt Lake,Barrieto,Skier,New Snow,"4""",50',500',East,"10,000'","40.612241077331, -111.689243303880",1,1,,,,
12/4/2016,Logan,Chicken Hill,Skier,New Snow/Old Snow Interface,"9""",,,Northeast,"8,500'",,,,,,,
12/4/2016,Moab,Moab,Natural,New Snow/Old Snow Interface,"12""",35',250',Northwest,"11,500'","38.444984668357, -109.243068682290",,,,,,
11/30/2016,Salt Lake,East Bowl,Skier,New Snow,2',35',100',Northeast,"9,800'",,1,1,,,,
11/30/2016,Salt Lake,East Bowl,Skier,Depth Hoar,2',45',250',North,"9,900'","40.600290218177, -111.620726945140",1,1,,,,
11/28/2016,Logan,"Miller Bowl, East",Natural,New Snow/Old Snow Interface,2',40',400',North,"8,700'","41.886358152338, -111.644372751060",,,,,,
11/23/2016,Salt Lake,Cardiac Ridge,Natural,New Snow,,,,East,"10,500'","40.604003239673, -111.668092744690",,,,,,
11/23/2016,Salt Lake,Cardiac Bowl,Natural,,,175',900',North,"11,000'",,,,,,,
11/23/2016,Salt Lake,Little Cottonwood Canyon,Natural,,,,,,,,,,,,,
11/22/2016,Salt Lake,Baldy,Skier,New Snow/Old Snow Interface,"8""",150',"1,250'",North,"11,000'","40.569098578428, -111.638947928880",,,,,,
6/6/2016,Uintas,Uintas,Unknown,,8',800',600',Northeast,"11,800'","40.764486399925, -110.614299818910",,,,,,
5/3/2016,Salt Lake,Tuscarora,Skier,New Snow/Old Snow Interface,"8""",60',80',East,"10,300'","40.582083785728, -111.598520366750",1,1,,,,
4/28/2016,Salt Lake,Pt. Supreme,Skier,New Snow/Old Snow Interface,"5""",450',400',Northeast,"10,300'","40.574921296761, -111.604539215040",,,,,,
4/27/2016,Salt Lake,Baldy,Skier,,,300',700',North,"10,500'",,,,,,,
4/27/2016,Salt Lake,Millicent Peak,Skier,New Snow/Old Snow Interface,"12""",300',"1,000'",Northeast,"10,500'","40.591690151027, -111.596353113120",,,,,,
4/27/2016,Salt Lake,Alta Ski Area,,,,,,West,"10,200'",,,,,,,
4/27/2016,Salt Lake,Wolverine Cirque,Skier,,,,,North,,"40.587612457553, -111.606926064410",,,,,,
4/27/2016,Salt Lake,Sunset Peak,Skier,New Snow,"4""",50',300',North,"10,400'","40.578009727055, -111.593627952830",,,,,,
4/27/2016,Salt Lake,West Rustler,Skier,New Snow/Old Snow Interface,"12""",30',300',West,"9,800'","40.581445186667, -111.632766761140",1,1,,,,
4/27/2016,Salt Lake,Cardiff Fork,,,,,,,,,,,,,,
4/27/2016,Salt Lake,Baldy,Snowboarder,New Snow/Old Snow Interface,"16""",300',,North,"10,700'",,1,,,,,
4/27/2016,Salt Lake,Wolverine Cirque,Natural,Density Change,"12""",,,Northwest,,"40.589514349913, -111.599593250350",,,,,,
4/26/2016,Salt Lake,Seagull,Skier,,,25',600',North,"11,600'","40.584588825382, -111.597338602980",,,,,,
4/26/2016,Salt Lake,Big Cottonwood Canyon,Natural,Density Change,"14""",250',450',Northeast,"10,000'",,,,,,,
4/25/2016,Salt Lake,Emma Ridges,Snowboarder,New Snow/Old Snow Interface,"8""",20',100',North,"10,000'",,,,,,,
4/25/2016,Salt Lake,Salt Lake,Snowboarder,New Snow/Old Snow Interface,"3""",40',125',Northeast,"10,000'",,,,,,,
4/25/2016,Uintas,Lake Creek,Snowmobiler,New Snow/Old Snow Interface,"6""",200',150',Northeast,"10,000'","40.409509093434, -111.203420199730",1,1,1,,,
4/24/2016,Salt Lake,Davenport Hill,Skier,New Snow,"10""",50',200',Northeast,,"40.600301091701, -111.622338354030",,,,,,
4/24/2016,Salt Lake,Seagull,Skier,New Snow/Old Snow Interface,"6""",30',600',East,"10,600'","40.584593137963, -111.598026818730",,,,,,
4/24/2016,Salt Lake,Evergreen Ridge,Skier,New Snow/Old Snow Interface,"9""",30',125',North,"8,000'","40.597808323377, -111.588156246430",,,,,,
4/24/2016,Salt Lake,Lake Peak,Skier,New Snow/Old Snow Interface,"16""",150',800',East,"10,700'",,,,,,,
4/24/2016,Salt Lake,Solitude,Skier,New Snow/Old Snow Interface,"10""",20',400',Northeast,"8,500'","40.614537860228, -111.615386053920",,,,,,
4/23/2016,Uintas,Mt Watson,Natural,New Snow/Old Snow Interface,"12""",250',600',East,"11,400'","40.699693792777, -110.978822774420",,,,,,
4/19/2016,Salt Lake,Gods Lawnmower,Unknown,,,,,North,,"40.633626449663, -111.665725752690",,,,,,
4/16/2016,Salt Lake,Little Superior,Skier,New Snow/Old Snow Interface,3',200',,Southeast,"10,500'",,,,,,,
4/13/2016,Salt Lake,Broads Fork,Natural,,,300',,East,,,,,,,,
4/12/2016,Logan,Hells Canyon,Natural,Wet grains,3',300',"1,750'",East,"8,500'","41.670076865712, -112.021064795790",,,,,,
4/9/2016,Provo,Deer Creek,Skier,New Snow/Old Snow Interface,"5""",100',400',Southeast,"8,700'","40.505548605366, -111.677422379540",,,,,,
4/7/2016,Salt Lake,Stairs Gulch,Natural,Ground Interface,5',150',"1,000'",West,"9,500'",,,,,,,
4/4/2016,Logan,Wellsville Mountain Wilderness,Natural,New Snow/Old Snow Interface,,80',"1,750'",East,"8,500'","41.672342859542, -112.021064788610",,,,,,
4/3/2016,Provo,Mary Ellen,Natural,New Snow,,,350',East,"10,000'","40.536845804815, -111.639568900690",,,,,,
4/2/2016,Provo,Cascade Cirque,Natural,,,,,Southeast,"10,500'",,,,,,,
4/1/2016,Provo,Miller Hill,Natural,New Snow/Old Snow Interface,,45',200',Southwest,"9,700'","40.543286955210, -111.626415304570",,,,,,
4/1/2016,Logan,Mitton Peak,Natural,New Snow/Old Snow Interface,,70',"1,500'",Southeast,"8,200'",,,,,,,
4/1/2016,Salt Lake,Stairs Gulch,Unknown,,"4""",20',200',North,"9,500'",,,,,,,
4/1/2016,Salt Lake,Canyons side country,Skier,,,30',200',North,,"40.695828419002, -111.592545468380",,,,,,
4/1/2016,Salt Lake,Monte Cristo,Unknown,New Snow,,,,South,"10,000'","40.588399656046, -111.669631063420",2,1,,,,
4/1/2016,Salt Lake,Cottonwood Ridgeline,Natural,New Snow,,,"1,000'",South,"10,500'",,,,,,,
3/31/2016,Ogden,Hells Canyon,,New Snow,,,"1,000'",North,"8,300'","41.214840659290, -111.876238395230",,,,,,
3/31/2016,Logan,Lower Providence Canyon,,,,,,,,"41.686986783671, -111.736021072200",,,,,,
3/30/2016,Logan,Tony Grove,Snowboarder,New Snow,"12""",40',100',Northeast,"9,000'",,,,,,,
3/30/2016,Provo,Shingle Mill Canyon,Skier,Density Change,"7""",50',200',East,"9,100'","40.286229936400, -111.539812132720",,,,,,
3/30/2016,Salt Lake,Depth Hoar Bowl,Skier,,"16""",200',800',North,"9,800'",,,,,,,
3/30/2016,Salt Lake,Mill D North,Skier,,,,,East,"8,200'","40.659023848678, -111.629925787050",,,,,,
3/30/2016,Uintas,Weber Canyon,Skier,New Snow/Old Snow Interface,"18""",100',70',Northeast,"10,100'",,,,,,,
3/29/2016,Salt Lake,White Pine,Skier,New Snow/Old Snow Interface,"12""",100',200',West,"9,500'","40.560698484424, -111.676240012040",,,,,,
3/29/2016,Salt Lake,Scotties Bowl,Snowboarder,New Snow/Old Snow Interface,"12""",15',50',North,"9,700'",,,,,,,
3/29/2016,Moab,Moab,Natural,New Snow,2.5',300',400',North,"11,000'","38.452245060650, -109.264140296010",,,,,,
3/29/2016,Logan,Cougar Peak Area,Natural,Density Change,"12""",300',100',North,"8,600'","41.915387608166, -111.719305545600",,,,,,
3/29/2016,Salt Lake,Pink Pine,,,,,,,,"40.557864778713, -111.692357780520",,,,,,
3/29/2016,Salt Lake,West Monitor,Natural,Density Change,"20""",60',500',Northeast,"10,000'","40.639141407963, -111.576762244110",,,,,,
3/29/2016,Salt Lake,Lacawaxan,Skier,Density Change,2',200',600',East,"10,700'","40.592675938606, -111.560411505140",,,,,,
3/29/2016,Salt Lake,Daly Canyon,Natural,,,,,Northeast,"7,400'","40.623797885605, -111.503763322600",,,,,,
3/29/2016,Salt Lake,Hallway Couloir,Skier,New Snow,"12""",50',"1,250'",Northwest,"10,300'","40.605742433308, -111.646671347050",,,,,,
3/29/2016,Salt Lake,East Bowl,Skier,New Snow/Old Snow Interface,"8""",50',40',West,"9,400'","40.603591001006, -111.621222555110",,,,,,
3/29/2016,Salt Lake,Y Coulior,Natural,,,,"3,000'",North,"9,600'","40.560273687765, -111.726065201120",,,,,,
3/28/2016,Salt Lake,Days Fork,Skier,New Snow/Old Snow Interface,"8""",40',400',North,"10,000'",,,,,,,
3/28/2016,Salt Lake,Main Days,Skier,New Snow,"7""",300',600',North,"10,300'","40.604885886813, -111.643112694080",,,,,,
3/28/2016,Salt Lake,Brighton Perimeter,Natural,Density Change,"8""",350',450',Northwest,"10,100'","40.590382670774, -111.599378666460",,,,,,
3/28/2016,Salt Lake,Session Mountains,Natural,,,,,Northeast,"9,100'",,,,,,,
3/26/2016,Salt Lake,Broads Fork,Natural,Ground Interface,3.5',175',"1,000'",Northeast,"10,000'","40.599095469309, -111.720271176810",,,,,,
3/26/2016,Salt Lake,Monitors,Skier,,,,,,,,,,,,,
3/26/2016,Salt Lake,Deaf Smith,Unknown,,,,,Southeast,"10,000'","40.599975243027, -111.727309278870",1,1,,,,
3/26/2016,Provo,Timpanogos,Hiker,,,,,West,"9,500'","40.296808757586, -111.588478161800",,,,,,
3/25/2016,Provo,Everest Ridge,Hiker,,,,,Southwest,"10,000'",,1,1,,1,1,
3/24/2016,Salt Lake,Toledo Chutes,Snowboarder,,,,300',Southeast,"10,000'","40.598020155809, -111.647422372750",1,1,,,,
3/24/2016,Moab,La Sal Mountains,Skier,Facets,"12""",60',250',Northeast,"11,000'","38.449914920206, -109.260835670820",,,,,,
3/23/2016,Salt Lake,Scotties Bowl,Skier,New Snow,"6""",25',200',North,"9,500'","40.564508683522, -111.675768007940",,,,,,
3/23/2016,Logan,Boiler Bowl,Natural,New Snow/Old Snow Interface,"20""",80',450',East,"9,000'","41.940765647541, -111.629633933830",,,,,,
3/23/2016,Salt Lake,Salt Lake,Skier,,"6""",40',150',Southwest,"10,300'","40.599242144528, -111.646671418930",,,,,,
3/20/2016,Logan,North Wood Camp,Natural,New Snow/Old Snow Interface,2',80',900',Southeast,"8,000'","41.828244310458, -111.666884459810",,,,,,
3/19/2016,Logan,Castle Rock,Natural,New Snow/Old Snow Interface,3',400',700',North,"9,500'","41.901936702997, -111.668601073580",,,,,,
3/19/2016,Salt Lake,Toledo Bowl,Skier,New Snow/Old Snow Interface,"4""",15',100',Southwest,"9,000'","40.596781402611, -111.642937733660",,,,,,
3/19/2016,Salt Lake,Superior,Skier,Wet grains,,,,South,,,,,,,,
3/18/2016,Logan,White Pine Canyon,Snowmobiler,New Snow/Old Snow Interface,3',300',200',Northeast,"8,300'","41.928768845938, -111.643967673190",4,4,3,1,1,
3/18/2016,Ogden,Bountiful mountains,Skier,,"14""",80',350',,,,,,,,,
3/18/2016,Logan,Boiler Bowl,Snowmobiler,New Snow/Old Snow Interface,2',80',600',North,"9,600'","41.946390662669, -111.652851149440",,,,,,
3/18/2016,Salt Lake,Reynolds East Face,Unknown,,,,,,"10,000'",,,,,,,
3/17/2016,Salt Lake,Depth Hoar Bowl,Natural,New Snow/Old Snow Interface,,250',800',Northeast,"9,800'",,,,,,,
3/17/2016,Logan,Beginner Ridge exit,Snowmobiler,New Snow/Old Snow Interface,3',200',400',North,"8,400'","41.888389121336, -111.640620283500",,,,,,
3/17/2016,Logan,Shumway Canyon,Natural,,,80',300',Northeast,"8,400'","41.659445946976, -112.014304252070",,,,,,
3/17/2016,Salt Lake,Broads Fork,,,,,,,,,,,,,,
3/17/2016,Salt Lake,South Monitor Bowl,Skier,New Snow/Old Snow Interface,"20""",150',800',Northeast,"9,900'",,,,,,,
3/17/2016,Logan,White Pine Canyon,Snowmobiler,New Snow/Old Snow Interface,3',80',80',Northeast,"8,100'","41.928804759572, -111.643409766520",1,1,1,,,
3/16/2016,Salt Lake,Murdock Peak,Skier,New Snow/Old Snow Interface,"18""",150',100',Northeast,"9,400'",,3,,,,,
3/16/2016,Salt Lake,Cardiac Ridge,Natural,Facets,2',500',"1,000'",Northeast,"10,600'",,,,,,,
3/15/2016,Salt Lake,Hide A Way Park,Skier,New Snow/Old Snow Interface,"14""",50',400',North,"9,800'",,1,1,,,,
3/15/2016,Salt Lake,Two Dogs,Skier,New Snow,"8""",30',10',Northeast,"9,900'","40.600202835231, -111.639611787290",,,,,,
3/15/2016,Salt Lake,Main Days,Skier,New Snow/Old Snow Interface,"10""",40',60',Northeast,"9,200'","40.607201008273, -111.638851484480",1,1,1,,,
3/15/2016,Salt Lake,Figure 8 Hill,Snowboarder,New Snow/Old Snow Interface,"4""",15',10',Northeast,"9,500'","40.593017613030, -111.604399747350",,,,,,
3/15/2016,Salt Lake,Argenta,Skier,New Snow/Old Snow Interface,"18""",70',150',North,"9,500'","40.628325978391, -111.672249122130",,,,,,
